from,to,relation
gel,bl,3
gel1,gelj,1
gel2,alk,1
gel3,stpo,1
gel4,nag,1
gel5,zwo,1
gel6,rblj,1
gel8,gelj,1
gel9,duis,1
gel10,mala,1
gel11,muns,1
gel13,scfj,1
gel15,len,1
gel18,tps,1
gel19,tsgj,1
gel20,heid,1
gel21,fsvj,1
gel23,gelj,1
gel24,levj,1
gel25,ful,1
gel26,ybb,1
gel27,fcz,1
gel29,aaa,1
gel30,slpr,1
gel33,rivp,1
gel34,vfbj,1
gel35,lech,1
gel37,stk,1
gel38,sang,1
gel40,wobj,1
gel41,lipp,1
gel1,gel,2
gel2,gel,2
gel3,gel,2
gel4,gel,2
gel5,gel,2
gel6,gel,2
gel8,gel,2
gel9,gel,2
gel10,gel,2
gel11,gel,2
gel13,gel,2
gel15,gel,2
gel18,gel,2
gel19,gel,2
gel20,gel,2
gel21,gel,2
gel23,gel,2
gel24,gel,2
gel25,gel,2
gel26,gel,2
gel27,gel,2
gel29,gel,2
gel30,gel,2
gel33,gel,2
gel34,gel,2
gel35,gel,2
gel37,gel,2
gel38,gel,2
gel40,gel,2
gel41,gel,2
